D (10,11,12) (0,2,0)
D (9,10,-1) (3,3,2)
D (10,11,-1) (3,5,4)
D (11,-1,-1) (2,0,2)
D (8,9,10) (1,5,1)
D (8,9,-1) (1,1,4)
D (10,11,12) (2,2,1)
D (11,12,-1) (4,0,2)
D (7,-1,-1) (1,2,1)
D (12,-1,-1) (4,4,0)
D (7,8,9) (1,0,3)
D (11,-1,-1) (3,2,1)
D (11,-1,-1) (0,1,1)
D (11,12,-1) (5,1,2)
D (7,-1,-1) (1,4,0)
D (8,9,-1) (0,3,4)
D (7,-1,-1) (3,5,0)
D (9,-1,-1) (5,1,5)
D (9,-1,-1) (2,2,2)
D (10,-1,-1) (2,5,2)
D (10,11,-1) (2,1,5)
D (12,-1,-1) (3,4,3)
D (8,9,-1) (4,4,1)
D (12,-1,-1) (1,0,5)
D (11,12,-1) (5,0,1)
C 0 9
C 1 16
C 2 4
C 3 24
C 4 17
C 5 7
C 6 17
C 7 24
C 8 2
C 9 24
C 10 3
C 11 20
C 12 15
C 13 23
C 14 15
C 15 9
C 16 5
C 17 8
C 18 8
C 19 15
C 20 22
C 21 22
C 22 4
C 23 1
C 24 6
C 25 0
C 26 2
C 27 2
C 28 9
C 29 17
C 30 11
C 31 2
C 32 14
C 33 21
C 34 1
C 35 24
C 36 5
C 37 16
C 38 23
C 39 3
C 40 3
C 41 25
C 42 12
C 43 4
C 44 26
C 45 8
C 46 25
C 47 14
C 48 10
C 49 7
C 50 5
C 51 8
C 52 10
C 53 19
C 54 18
C 55 0
C 56 14
C 57 14
C 58 22
C 59 2
C 60 20
C 61 4
C 62 7
C 63 25
C 64 3
C 65 24
C 66 17
C 67 6
C 68 8
C 69 3
C 70 21
C 71 24
C 72 12
C 73 22
C 74 2
C 75 15
C 76 1
C 77 2
C 78 21
C 79 24
C 80 6
C 81 5
C 82 2
C 83 21
C 84 8
C 85 17
C 86 0
C 87 14
C 88 7
C 89 19
C 90 10
C 91 17
C 92 6
C 93 4
C 94 8
C 95 23
C 96 15
C 97 0
C 98 16
C 99 11
C 100 12
C 101 5
C 102 25
C 103 15
C 104 14
C 105 25
C 106 12
C 107 7
C 108 22
C 109 3
C 110 21
C 111 15
C 112 5
C 113 22
C 114 11
C 115 26
C 116 10
C 117 2
C 118 19
C 119 26
C 120 17
C 121 19
C 122 1
C 123 21
C 124 3
C 125 22
C 126 17
C 127 17
C 128 26
C 129 9
C 130 17
C 131 21
C 132 22
C 133 15
C 134 19
C 135 14
C 136 8
C 137 10
C 138 9
C 139 18
C 140 21
C 141 18
C 142 11
C 143 24
C 144 22
C 145 2
C 146 19
C 147 5
C 148 19
C 149 4
C 150 24
C 151 25
C 152 5
C 153 26
C 154 17
C 155 7
C 156 26
C 157 18
C 158 22
C 159 2
C 160 23
C 161 1
C 162 26
C 163 6
C 164 9
C 165 18
C 166 18
C 167 20
C 168 6
C 169 26
C 170 1
C 171 8
C 172 14
C 173 6
C 174 0
C 175 14
C 176 26
C 177 8
C 178 1
C 179 1
C 180 11
C 181 22
C 182 4
C 183 22
C 184 18
C 185 12
C 186 14
C 187 17
C 188 16
C 189 8
C 190 10
C 191 15
C 192 5
C 193 7
C 194 2
C 195 21
C 196 15
C 197 20
C 198 5
C 199 25
C 200 10
C 201 15
C 202 5
C 203 6
C 204 1
C 205 4
C 206 8
C 207 17
C 208 6
C 209 11
C 210 8
C 211 5
C 212 0
C 213 18
C 214 26
C 215 1
C 216 18
C 217 26
C 218 25
C 219 22
C 220 21
C 221 11
C 222 5
C 223 1
C 224 7
C 225 15
C 226 23
C 227 25
C 228 21
C 229 4
C 230 26
C 231 9
C 232 12
C 233 17
C 234 24
C 235 21
C 236 7
C 237 10
C 238 6
C 239 17
C 240 14
C 241 14
C 242 23
C 243 5
C 244 15
C 245 10
C 246 10
C 247 20
C 248 10
C 249 2
C 250 10
C 251 15
C 252 5
C 253 23
C 254 12
C 255 10
C 256 7
C 257 6
C 258 1
C 259 16
C 260 1
C 261 0
C 262 11
C 263 18
C 264 8
C 265 14
C 266 18
C 267 10
C 268 7
C 269 15
C 270 0
C 271 18
C 272 5
C 273 22
C 274 5
C 275 3
C 276 18
C 277 14
C 278 26
C 279 14
C 280 0
C 281 4
C 282 10
C 283 25
C 284 20
C 285 9
C 286 12
C 287 14
C 288 16
C 289 10
C 290 5
C 291 0
C 292 0
C 293 0
C 294 0
C 295 0
C 296 0
C 297 0
C 298 0
C 299 0
C 300 0
C 301 0
C 302 0
C 303 0
C 304 0
C 305 0
C 306 0
C 307 0
C 308 0
C 309 0
C 310 0
C 311 0
C 312 0
C 313 0
C 314 18
C 315 4
C 316 6
C 317 24
C 318 21
C 319 24
C 320 25
C 321 5
C 322 4
C 323 17
C 324 6
C 325 14
C 326 1
C 327 11
C 328 23
C 329 2
C 330 12
C 331 8
C 332 19
C 333 20
C 334 3
C 335 0
C 336 3
C 337 26
C 338 6
C 339 24
C 340 11
C 341 24
C 342 10
C 343 12
C 344 12
C 345 1
C 346 0
C 347 1
C 348 9
C 349 25
C 350 7
I 5 3 15 (2,1,0) (0,1,1,0)
I 0 1 7 (1,0,0) (0,0,1,0)
