D (10,11,-1,0) (2,0,2,-2)
D (7,10,-1,0) (5,2,2,-2)
D (7,-1,-1,0) (2,2,2,-2)
D (10,11,-1,0) (3,2,4,-2)
D (3,-1,-1,0) (0,4,2,-2)
D (6,-1,-1,0) (1,3,3,-2)
D (7,10,11,0) (3,5,4,-2)
D (2,-1,-1,0) (1,4,4,-2)
D (6,7,10,0) (4,4,4,-2)
D (7,10,11,0) (1,4,2,-2)
D (7,10,11,0) (5,2,3,-2)
D (2,3,-1,0) (3,4,1,-2)
D (7,10,6,0) (2,3,0,-2)
D (2,3,6,0) (4,3,2,-2)
D (2,-1,-1,0) (1,3,4,-2)
D (6,7,10,0) (4,3,1,-2)
D (2,-1,-1,0) (4,3,3,-2)
D (11,11,-1,0) (4,3,5,-2)
D (10,11,-1,0) (0,2,1,-2)
D (3,6,-1,0) (1,2,3,-2)
D (2,3,-1,0) (1,1,0,-2)
D (11,-1,-1,0) (2,1,1,-2)
D (11,-1,-1,0) (2,2,0,-2)
D (10,-1,-1,0) (2,2,1,-2)
D (11,-1,-1,0) (5,5,2,-2)
D (2,3,6,0) (3,2,5,-2)
D (3,6,7,0) (3,5,1,-2)
D (3,6,7,0) (0,3,5,-2)
D (6,-1,-1,0) (5,1,0,-2)
D (10,11,-1,0) (1,5,1,-2)
D (3,-1,-1,0) (4,2,3,-2)
C 0 21
C 1 15
C 2 6
C 3 21
C 4 25
C 5 26
C 6 5
C 7 1
C 8 20
C 9 23
C 10 0
C 11 22
C 12 24
C 13 9
C 14 6
C 15 14
C 16 26
C 17 15
C 18 25
C 19 3
C 20 12
C 21 23
C 22 1
C 23 3
C 24 12
C 25 12
C 26 4
C 27 21
C 28 3
C 29 15
C 30 2
C 31 18
C 32 25
C 33 25
C 34 7
C 35 5
C 36 14
C 37 24
C 38 19
C 39 20
C 40 4
C 41 12
C 42 24
C 43 26
C 44 3
C 45 1
C 46 16
C 47 12
C 48 17
C 49 14
C 50 18
C 51 11
C 52 18
C 53 4
C 54 0
C 55 26
C 56 23
C 57 19
C 58 15
C 59 6
C 60 26
C 61 11
C 62 4
C 63 23
C 64 22
C 65 12
C 66 0
C 67 1
C 68 19
C 69 10
C 70 3
C 71 7
C 72 19
C 73 22
C 74 16
C 75 22
C 76 20
C 77 10
C 78 10
C 79 15
C 80 25
C 81 7
C 82 1
C 83 2
C 84 14
C 85 3
C 86 25
C 87 12
C 88 8
C 89 12
C 90 3
C 91 12
C 92 21
C 93 22
C 94 18
C 95 24
C 96 23
C 97 6
C 98 9
C 99 3
C 100 9
C 101 21
C 102 6
C 103 6
C 104 7
C 105 16
C 106 15
C 107 11
C 108 14
C 109 12
C 110 26
C 111 9
C 112 23
C 113 1
C 114 4
C 115 1
C 116 24
C 117 3
C 118 19
C 119 22
C 120 19
C 121 12
C 122 12
C 123 2
C 124 17
C 125 5
C 126 9
C 127 21
C 128 26
C 129 14
C 130 21
C 131 11
C 132 18
C 133 20
C 134 21
C 135 18
C 136 9
C 137 24
C 138 1
C 139 5
C 140 0
C 141 16
C 142 20
C 143 21
C 144 3
C 145 17
C 146 22
C 147 16
C 148 15
C 149 5
C 150 23
C 151 23
C 152 20
C 153 19
C 154 4
C 155 5
C 156 15
C 157 7
C 158 5
C 159 7
C 160 14
C 161 23
C 162 14
C 163 15
C 164 2
C 165 8
C 166 26
C 167 20
C 168 14
C 169 18
C 170 11
C 171 23
C 172 20
C 173 3
C 174 11
C 175 7
C 176 11
C 177 25
C 178 20
C 179 9
C 180 18
C 181 9
C 182 2
C 183 26
C 184 23
C 185 23
C 186 22
C 187 21
C 188 14
C 189 17
C 190 1
C 191 4
C 192 17
C 193 18
C 194 22
C 195 4
C 196 16
C 197 17
C 198 7
C 199 3
C 200 8
C 201 9
C 202 24
C 203 11
C 204 24
C 205 24
C 206 16
C 207 10
C 208 1
C 209 21
C 210 16
C 211 11
C 212 22
C 213 11
C 214 17
C 215 18
C 216 14
C 217 16
C 218 17
C 219 6
C 220 9
C 221 25
C 222 6
C 223 5
C 224 2
C 225 4
C 226 5
C 227 7
C 228 1
C 229 10
C 230 14
C 231 0
C 232 3
C 233 5
C 234 12
C 235 26
C 236 17
C 237 6
C 238 24
C 239 18
C 240 14
C 241 18
C 242 10
C 243 7
C 244 9
C 245 25
C 246 6
C 247 4
C 248 22
C 249 7
C 250 17
C 251 21
C 252 16
C 253 18
C 254 25
C 255 3
C 256 24
C 257 12
C 258 5
C 259 4
C 260 6
C 261 12
C 262 15
C 263 1
C 264 2
C 265 18
C 266 11
C 267 6
C 268 25
C 269 26
C 270 20
C 271 15
C 272 26
C 273 5
C 274 12
C 275 6
C 276 8
C 277 2
C 278 0
C 279 7
C 280 8
C 281 6
C 282 8
C 283 3
C 284 8
C 285 14
C 286 25
C 287 3
C 288 22
C 289 17
C 290 11
C 291 0
C 292 5
C 293 20
C 294 15
C 295 22
C 296 0
C 297 10
C 298 22
C 299 24
C 300 16
C 301 18
C 302 17
C 303 24
C 304 11
C 305 26
C 306 3
C 307 9
C 308 12
C 309 17
C 310 2
C 311 24
C 312 7
C 313 18
C 314 18
C 315 19
C 316 6
C 317 23
C 318 11
C 319 15
C 320 21
C 321 14
C 322 7
C 323 21
I 4 3 14 (0,3,4,0) (0,1,0,0)|(0,0,0,1)|(0,-1,1,0)|(1,-1,1,0)|(-1,-1,0,0)
I 1 1 15 (2,3,4,0) (0,1,-1,0)|(0,0,0,1)|(0,0,0,1)|(-1,1,-1,0)|(0,0,1,0)
