D (10,11,-1) (5,0,2)
D (10,-1,-1) (0,3,0)
D (9,-1,-1) (5,3,1)
D (12,-1,-1) (1,0,4)
D (7,8,9) (2,0,3)
D (12,-1,-1) (2,4,1)
D (9,10,11) (5,5,3)
D (7,8,9) (4,1,3)
D (11,12,-1) (3,3,5)
D (9,-1,-1) (4,0,1)
D (12,-1,-1) (0,3,3)
D (9,10,11) (1,4,4)
D (11,12,-1) (2,1,0)
D (6,-1,-1) (3,2,1)
D (9,-1,-1) (2,5,5)
D (8,-1,-1) (1,0,2)
D (11,-1,-1) (5,2,3)
D (8,-1,-1) (1,4,2)
D (7,-1,-1) (5,3,4)
D (6,7,-1) (0,4,0)
D (13,-1,-1) (1,5,5)
D (7,8,-1) (1,3,0)
D (11,12,-1) (0,4,4)
C 0 3
C 1 0
C 2 11
C 3 6
C 4 8
C 5 4
C 6 18
C 7 3
C 8 22
C 9 15
C 10 3
C 11 21
C 12 21
C 13 17
C 14 0
C 15 16
C 16 12
C 17 5
C 18 10
C 19 12
C 20 9
C 21 7
C 22 10
C 23 20
C 24 3
C 25 24
C 26 6
C 27 26
C 28 18
C 29 21
C 30 10
C 31 14
C 32 5
C 33 4
C 34 16
C 35 25
C 36 2
C 37 4
C 38 5
C 39 7
C 40 17
C 41 7
C 42 5
C 43 14
C 44 1
C 45 4
C 46 11
C 47 20
C 48 15
C 49 8
C 50 20
C 51 6
C 52 23
C 53 9
C 54 5
C 55 4
C 56 10
C 57 8
C 58 9
C 59 18
C 60 4
C 61 23
C 62 6
C 63 18
C 64 8
C 65 7
C 66 23
C 67 7
C 68 15
C 69 8
C 70 2
C 71 17
C 72 1
C 73 22
C 74 9
C 75 7
C 76 14
C 77 8
C 78 15
C 79 12
C 80 24
C 81 24
C 82 23
C 83 18
C 84 26
C 85 17
C 86 24
C 87 23
C 88 22
C 89 6
C 90 0
C 91 18
C 92 21
C 93 16
C 94 17
C 95 9
C 96 10
C 97 11
C 98 16
C 99 17
C 100 0
C 101 22
C 102 20
C 103 1
C 104 26
C 105 15
C 106 3
C 107 23
C 108 16
C 109 7
C 110 25
C 111 0
C 112 12
C 113 24
C 114 21
C 115 22
C 116 1
C 117 4
C 118 25
C 119 16
C 120 18
C 121 1
C 122 10
C 123 1
C 124 6
C 125 18
C 126 19
C 127 19
C 128 7
C 129 3
C 130 15
C 131 22
C 132 11
C 133 17
C 134 18
C 135 18
C 136 14
C 137 6
C 138 20
C 139 12
C 140 7
C 141 25
C 142 19
C 143 9
C 144 9
C 145 26
C 146 25
C 147 9
C 148 21
C 149 14
C 150 6
C 151 20
C 152 15
C 153 6
C 154 23
C 155 21
C 156 21
C 157 4
C 158 14
C 159 26
C 160 23
C 161 8
C 162 20
C 163 25
C 164 3
C 165 21
C 166 18
C 167 24
C 168 17
C 169 6
C 170 19
C 171 20
C 172 0
C 173 26
C 174 2
C 175 5
C 176 12
C 177 8
C 178 25
C 179 5
C 180 25
C 181 3
C 182 5
C 183 11
C 184 11
C 185 9
C 186 26
C 187 16
C 188 5
C 189 26
C 190 5
C 191 14
C 192 15
C 193 3
C 194 15
C 195 16
C 196 8
C 197 26
C 198 10
C 199 3
C 200 24
C 201 20
C 202 15
C 203 23
C 204 7
C 205 15
C 206 7
C 207 26
C 208 26
C 209 9
C 210 12
C 211 16
C 212 25
C 213 4
C 214 8
C 215 20
C 216 21
C 217 4
C 218 16
C 219 22
C 220 21
C 221 25
C 222 5
C 223 0
C 224 0
C 225 5
C 226 2
C 227 10
C 228 8
C 229 16
C 230 7
C 231 21
C 232 12
C 233 26
C 234 6
C 235 7
C 236 11
C 237 8
C 238 16
C 239 24
C 240 0
C 241 15
C 242 11
C 243 10
C 244 3
C 245 17
C 246 8
C 247 10
C 248 16
C 249 22
C 250 1
C 251 20
C 252 6
C 253 15
C 254 25
C 255 10
C 256 1
C 257 24
C 258 9
C 259 9
C 260 11
C 261 9
C 262 24
C 263 23
C 264 12
C 265 22
C 266 17
C 267 21
C 268 24
C 269 2
C 270 0
C 271 18
C 272 9
C 273 17
C 274 15
C 275 10
C 276 20
C 277 24
C 278 23
C 279 20
C 280 0
C 281 26
C 282 8
C 283 24
C 284 9
C 285 11
C 286 20
C 287 14
C 288 23
C 289 7
C 290 6
C 291 0
C 292 17
C 293 0
C 294 11
C 295 6
C 296 26
C 297 2
C 298 10
C 299 0
C 300 12
C 301 17
C 302 24
C 303 0
