D (11,12,13) (2,3,4)
D (13,-1,-1) (4,1,0)
D (11,12,13) (5,2,5)
D (6,7,8) (3,4,3)
D (8,9,10) (5,1,3)
D (7,8,9) (4,4,5)
D (6,7,-1) (1,0,1)
D (6,7,-1) (3,4,5)
D (6,7,-1) (3,1,5)
D (13,-1,-1) (3,2,4)
D (9,10,-1) (0,4,2)
D (10,11,12) (2,0,2)
D (10,11,12) (5,1,0)
D (7,-1,-1) (3,1,1)
D (9,-1,-1) (2,5,5)
C 0 23
C 1 17
C 2 19
C 3 11
C 4 15
C 5 19
C 6 2
C 7 16
C 8 25
C 9 3
C 10 20
C 11 14
C 12 8
C 13 17
C 14 22
C 15 5
C 16 20
C 17 7
C 18 10
C 19 1
C 20 23
C 21 9
C 22 25
C 23 12
C 24 10
C 25 4
C 26 23
C 27 11
C 28 26
C 29 20
C 30 0
C 31 0
C 32 20
C 33 8
C 34 12
C 35 10
C 36 17
C 37 3
C 38 15
C 39 7
C 40 9
C 41 3
C 42 24
C 43 12
C 44 23
C 45 8
C 46 9
C 47 25
C 48 7
C 49 8
C 50 26
C 51 5
C 52 3
C 53 10
C 54 1
C 55 16
C 56 22
C 57 25
C 58 4
C 59 22
C 60 16
C 61 7
C 62 8
C 63 8
C 64 10
C 65 9
C 66 6
C 67 22
C 68 22
C 69 22
C 70 3
C 71 15
C 72 14
C 73 10
C 74 3
C 75 4
C 76 21
C 77 20
C 78 16
C 79 19
C 80 8
C 81 18
C 82 18
C 83 6
C 84 10
C 85 0
C 86 0
C 87 0
C 88 0
C 89 0
C 90 0
C 91 0
C 92 0
C 93 0
C 94 0
C 95 0
C 96 0
C 97 0
C 98 0
C 99 0
C 100 0
C 101 0
C 102 0
C 103 0
C 104 0
C 105 0
C 106 0
C 107 0
C 108 0
C 109 15
C 110 10
C 111 4
C 112 19
C 113 22
C 114 20
C 115 16
C 116 16
C 117 0
C 118 0
C 119 0
C 120 0
C 121 0
C 122 0
C 123 0
C 124 0
C 125 0
C 126 0
C 127 0
C 128 0
C 129 0
C 130 0
C 131 0
C 132 0
C 133 0
C 134 0
C 135 0
C 136 0
C 137 0
C 138 0
C 139 0
C 140 0
C 141 0
C 142 0
C 143 0
C 144 0
C 145 0
C 146 0
C 147 0
C 148 0
C 149 0
C 150 0
C 151 0
C 152 0
C 153 0
C 154 0
C 155 0
C 156 0
C 157 0
C 158 0
C 159 0
C 160 0
C 161 0
C 162 0
C 163 0
C 164 0
C 165 0
C 166 0
C 167 0
C 168 0
C 169 0
C 170 0
C 171 0
C 172 0
C 173 0
C 174 0
C 175 0
C 176 0
C 177 0
C 178 0
C 179 0
C 180 0
C 181 0
C 182 0
C 183 0
C 184 0
C 185 0
C 186 0
C 187 0
C 188 0
C 189 0
C 190 0
C 191 0
C 192 0
C 193 0
C 194 0
C 195 0
C 196 0
C 197 0
C 198 0
C 199 0
C 200 0
C 201 0
C 202 0
C 203 0
C 204 0
C 205 0
C 206 0
C 207 0
C 208 0
C 209 0
C 210 0
C 211 0
C 212 0
C 213 0
C 214 0
C 215 0
C 216 0
C 217 0
C 218 0
C 219 0
C 220 0
C 221 0
C 222 22
C 223 1
C 224 2
C 225 22
C 226 20
C 227 23
C 228 21
C 229 20
C 230 14
C 231 12
C 232 4
C 233 0
C 234 0
C 235 0
C 236 0
C 237 0
C 238 0
C 239 0
C 240 0
C 241 0
C 242 0
C 243 0
C 244 0
C 245 0
C 246 0
C 247 0
C 248 0
C 249 0
C 250 0
C 251 0
C 252 0
C 253 0
C 254 0
C 255 0
C 256 0
C 257 0
C 258 0
